Substance (GSM),Calliper (µ),Bulk (cm3/g),Bending resistance L&W mN MD,Bending resistance L&W mN CD,Bending resistance L&W mN GM
190,270,1.42,114,57,81
200,284,1.42,126,63,89
210,298,1.42,142,71,100
220,312,1.42,162,81,115
230,334,1.45,183,91,129
250,362,1.45,233,120,167
270,400,1.48,288,148,207
300,450,1.50,386,203,280
320,480,1.50,459,242,333
350,525,1.50,589,319,433
380,570,1.50,715,386,525
400,600,1.50,832,451,612
Tol. : ± 3%,± 5%,± 5%,,,± 15%

PARAMETER,UNIT,TEST PROCEDURE,VALUES
Plybond GSM ≥ 300,J/m2,Tappi T 569,≥ 140
Plybond GSM ≤ 295,J/m2,Tappi T 569,≥ 130
Roughness (PPS),microns(μ),Tappi T 555,1.5 (Max)
IGT Dry pick (MV),m/s,ISO 3782 & 3783,1.2 (Min)
ISO Brightness TS,%,ISO 2470,88 - 89 (Min)
ISO Brightness BS,%,ISO 2470,89 (Min)
CIE Whiteness TS,%,ISO 11475,120 - 125 (Min)
CIE Whiteness BS,%,ISO 11475,125 (Min)
Gloss at 75°,%,Tappi T 480,40 (Min)
Cobb 60 - T/S,g/m2,Tappi T 441,35 (Max)
Cobb 60 - B/S,g/m2,Tappi T 441,40 (Max)
Moisture (%) 200 - 300 gsm,%,Tappi T 412,6.0 - 7.5
Moisture (%) 301 - 400 gsm,%,Tappi T 412,7.0 - 8.0
Moisture (%) 301 - 450 gsm,%,Tappi T 412,7.0 - 8.5
