Substance (GSM) ,Calliper (M) ,Bulk (cm3/g),Bending resistance MD (mN),Bending resistance CD (mN),Bending resistance GM (mN)
230,340,1.48,195,88,131
240,355,1.48,220,101,149
250,375,1.5,247,112,167
260,389,1.5,276,125,186
270,410,1.52,305,138,205
280,426,1.52,340,154,229
290,441,1.52,384,173,258
300,456,1.52,428,193,287
310,474,1.53,442,199,297
320,490,1.53,455,205,306
330,505,1.53,477,215,320
340,520,1.53,499,225,335
350,543,1.55,521,235,350
360,558,1.55,559,253,376
370,574,1.55,597,271,402
380,589,1.55,635,289,428
390,605,1.55,687,312,463
400,620,1.55,742,337,500
Tol. : ± 3%,± 5%,± 5%,,,-15%
