Substance (GSM),Calliper (µ),Bulk (cm³/g),Bending resistance MD,Bending resistance CD,Bending resistance GM
180,270,1.50,107,51,74
185,278,1.50,116,55,80
190,285,1.50,122,58,84
195,293,1.50,134,64,93
200,305,1.53,147,70,101
205,314,1.53,159,76,110
210,321,1.53,172,82,119
215,329,1.53,183,88,127
220,337,1.53,196,94,136
225,344,1.53,208,100,144
230,354,1.54,218,105,151
235,362,1.54,230,110,159
240,370,1.54,244,117,169
245,377,1.54,257,123,178
250,391,1.56,269,130,187
255,398,1.56,284,138,198
260,406,1.56,299,145,208
265,414,1.56,314,153,219
270,424,1.57,330,160,230
275,432,1.57,348,170,243
280,440,1.57,367,180,257
285,448,1.57,385,188,269
290,456,1.57,405,198,283
295,463,1.57,421,209,297
300,475,1.58,441,220,311
305,482,1.58,464,231,327
310,490,1.58,485,242,343
315,498,1.58,507,253,358
320,513,1.60,528,263,373
325,520,1.60,550,275,389
330,528,1.60,572,286,404
335,536,1.60,594,297,420
340,544,1.60,617,309,437
345,552,1.60,638,319,451
350,560,1.60,660,338,472
355,568,1.60,689,353,493
360,576,1.60,718,368,514
365,584,1.60,742,380,531
370,592,1.60,762,392,547
375,600,1.60,783,405,563
380,610,1.61,800,414,575
385,620,1.61,832,431,599
390,628,1.61,865,447,622
395,635,1.61,898,465,646
400,650,1.63,928,475,664
Tol. : ± 3%,± 5%,± 5%,,,- 15%
