Substance (GSM),Calliper (µ),Bulk (cm³/g),Bending resistance MD (mN),Bending resistance CD (mN),Bending resistance GM (mN)
180,279,1.55,106,53,75
190,295,1.55,128,64,91
200,310,1.55,152,73,105
230,368,1.60,223,108,155
250,413,1.65,295,144,206
260,434,1.67,324,158,226
270,459,1.70,365,178,255
280,476,1.70,403,197,282
290,493,1.70,440,215,308
300,516,1.72,477,238,337
320,560,1.75,576,288,407
330,578,1.75,622,311,440
340,595,1.75,666,333,471
345,604,1.75,688,344,486
350,613,1.75,710,365,509
390,683,1.75,930,490,675
400,700,1.75,980,515,710
Tol.,± 5%,± 5%,,,± 15%
