Properties,,Test Method,Unit,,,,,,,,,,,
Thickness,,ASTM D374,Micron,8,9,10,12,15,16,19,23,25,36,50
,,ASTM D374,Gauge,32,36,40,48,60,64,76,92,100,144,200
Yield,,JPFTM,m /kg,89.3,79.4,59.5,71.4,47.6,44.6,37.5,31,28.6,19.8,14
,,JPFTM,in /lb,62700,55700,41800,50200,33500,31400,26300,21800,20100,13900,10000
Haze (Max),,ASTM D1003,%,3,3,3.5,3.5,3.5,3.5,3.5,4,4,4,4
Total luminous transmittance,,ASTM D1003,%,89,89,89,89,89,89,89,89,89,89,89
Tensile Strength,(MD) Min,ASTM D882,kg/cm,2000,2000,2000,2000,2000,2000,2000,2000,1900,1900,1900
,(MD) Min,ASTM D882,psi,28500,28500,28500,28500,28500,28500,28500,28500,27000,27000,27000
,(TD) Min,ASTM D882,kg/cm,1900,1900,1900,1900,1900,1900,1900,1900,1800,1800,1800
,(TD) Min,ASTM D882,psi,27000,27000,27000,27000,27000,27000,27000,27000,25600,25600,25600
Elongation,(MD) Min,ASTM D882,%,90,90,90,90,90,90,90,90,100,100,100
,(TD) Min,ASTM D882,%,90,90,90,90,90,90,90,90,90,90,90
Coefficient of friction(Side-A/B),St (Max),ASTM D1894,-,0.55,0.55,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,Dy (Max),ASTM D1894,-,0.5,0.5,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45
Shrinkage (150°C/30 min),(MD) Max,ASTM D1204,%,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
,(TD) Max,ASTM D1204,%,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Wetting Tension,,ASTM D2578,Dyne/cm,44,44,44,44,44,44,44,44,44,44,44
Water Vapour Transmission Rate (38°C & 90% RH),,ASTM E398,g/m / day,75,65,55,45,38,35,35,28,28,22,18
,,ASTM E398,g/100 inch /day,4.9,4.3,3.6,3,2.5,2.3,2.3,1.8,1.8,1.4,1.2
Oxygen Gas Transmission Rate (23°C & 0% RH),,ASTM D3985,cc/m /day,175,150,130,110,91,80,80,70,70,50,30
,,ASTM D3985,cc/100 inch /day,11.5,10,8.5,7,5.8,5.2,5.2,4.5,4.5,3.2,2
