PROPERTIES,,TEST METHOD,UNIT,,,,,,,,,,
Thickness,,ASTM D374,Micron,7,8,9,10,12,15,19,23,36,50
,,ASTM D374,Gauge,28,32,36,40,48,60,76,92,144,200
Yield,,JPFTM,m /kg,102,89.3,79.4,71.4,59.5,47.6,37.6,31.1,19.8,14.3
,,JPFTM,in /lb,71600,62700,55750,50200,41800,33454,26300,21800,13900,10000
Grammage,,JPFTM,gm/m,9.8,11.2,12.6,14,16.8,21,26.6,32.2,50.4,70
Optical Density,,By Tobias Make Instrument,-,2.2± 5%,2.2± 5%,2.2± 5%,2.2± 5%,2.2± 5%,2.2± 5%,2.2± 5%,2.2± 5%,2.2± 5%,2.2± 5%
Metal Bond Strength,,JPFTM,g/inch,200,200,200,200,200,200,200,200,200,200
Tensile Strength,(MD) Min,ASTM D882,kg/cm,1900,1900,1900,2000,2000,2000,2000,2000,2000,2000
,(MD) Min,ASTM D882,psi,27000,27000,27000,28500,28500,28500,28500,28500,28500,28500
,(TD) Min,ASTM D882,kg/cm,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
,(TD) Min,ASTM D882,psi,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
Elongation,(MD),ASTM D882,%,90,90,90,90,90,90,90,90,90,90
,(TD),ASTM D882,%,85,85,85,85,85,85,85,85,85,85
Coefficient of Friction(Metal to Film),Kinetic,ASTM D1894,-,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Shrinkage (150°C/30 min),(MD) Max,ASTM D1204,%,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8
,(TD) Max,ASTM D1204,%,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
Treatment level (Metal side),,ASTM D2578,Dyne/cm,54,54,54,54,54,54,54,54,54,54
Treatment level (Other side),,ASTM D2578,Dyne/cm,54,54,54,54,54,54,54,54,54,54
Water Vapour Transmission Rate,Max,ASTM E398,g/m /day,1.5,1.5,1.5,1,1,1,1,1,0.8,0.8
Oxygen Gas Transmission Rate (23°C,Max,ASTM D3985,cc/m /day,2,2,2,1.2,1.2,1.2,1.2,1.2,1,1
